method,noise_sd_hu,subsample_stride,dose_scale,curve_nrmse,param_mre,realisation,data_loss,physics_loss
amortized,25.0,1,0.5,0.49001193338583554,0.180263411982457,5,,
closed_form,25.0,4,1.0,0.04030459253625113,0.1879702320005851,5,,
deconvolution,25.0,4,1.0,0.09193726991268752,nan,5,,
pinn_hybrid,25.0,4,1.0,0.049362698710111,0.24729129043775266,5,646.3632578162336,8.511600164662251e-05
amortized,25.0,4,1.0,0.0392971052357278,0.18237846530903623,5,,
closed_form,25.0,4,0.5,0.5089349781321478,0.29597968356613724,5,,
deconvolution,25.0,4,0.5,0.5085305776999395,nan,5,,
pinn_hybrid,25.0,4,0.5,0.5056303347425329,0.1916767569087049,5,595.1414252777038,0.000601365661082645
amortized,25.0,4,0.5,0.5230651286361097,0.2640870347238732,5,,
closed_form,0.0,1,1.0,5.3052803732164045e-15,9.545967791755963e-15,6,,
deconvolution,0.0,1,1.0,9.06394602738787e-08,nan,6,,
pinn_hybrid,0.0,1,1.0,0.00010458926795256821,0.0003316054364939278,6,0.0008599789538568404,5.771389533385818e-07
amortized,0.0,1,1.0,0.027559734239616617,0.03992558253350784,6,,
closed_form,0.0,1,0.5,0.4999999999999995,3.2931917170670868e-15,6,,
deconvolution,0.0,1,0.5,0.5000000029002643,nan,6,,
pinn_hybrid,0.0,1,0.5,0.4999817309493086,0.00020931160465582313,6,0.00012603639840630133,5.283127311976326e-09
amortized,0.0,1,0.5,0.48732400762940353,0.03992558253350784,6,,
closed_form,0.0,4,1.0,2.1062715673816976e-15,4.132301354488831e-15,6,,
deconvolution,0.0,4,1.0,0.0034521284324518595,nan,6,,
pinn_hybrid,0.0,4,1.0,0.00010789993402615688,0.00030487735800932135,6,0.0009152939832670595,5.315280455730029e-07
amortized,0.0,4,1.0,0.021552738535589804,0.033773509496687046,6,,
closed_form,0.0,4,0.5,0.4999999999999981,3.7479390679535505e-15,6,,
deconvolution,0.0,4,0.5,0.5003731473669228,nan,6,,
pinn_hybrid,0.0,4,0.5,0.49997824184077105,0.00017513421092415224,6,0.00013161900346401526,1.3318346687761499e-08
amortized,0.0,4,0.5,0.49015373571234816,0.033773509496687046,6,,
closed_form,10.0,1,1.0,0.006016307897752361,0.015678362983651252,6,,
deconvolution,10.0,1,1.0,0.04388666208975704,nan,6,,
pinn_hybrid,10.0,1,1.0,0.0062252495849163805,0.012590902419456295,6,87.32185731446965,8.763139687810316e-07
amortized,10.0,1,1.0,0.03693770325555229,0.05905416627779983,6,,
closed_form,10.0,1,0.5,0.5022252324179229,0.039093434592140694,6,,
deconvolution,10.0,1,0.5,0.5041073187061578,nan,6,,
pinn_hybrid,10.0,1,0.5,0.5017284037005827,0.05467494024996025,6,94.67245164190103,1.4483970316182065e-06
amortized,10.0,1,0.5,0.4870566150192097,0.05140861605629227,6,,
closed_form,10.0,4,1.0,0.0015044446004658367,0.0027977279241405513,6,,
deconvolution,10.0,4,1.0,0.04078794824682039,nan,6,,
pinn_hybrid,10.0,4,1.0,0.004383156174992813,0.008703962500152637,6,110.04889969294136,1.2395758642614573e-06
amortized,10.0,4,1.0,0.017906127097657765,0.031338078379961214,6,,
closed_form,10.0,4,0.5,0.4948976712215304,0.07920325217995539,6,,
deconvolution,10.0,4,0.5,0.503730015348576,nan,6,,
pinn_hybrid,10.0,4,0.5,0.49463109841820846,0.10370095177624368,6,95.81465864035646,2.715867975555493e-05
amortized,10.0,4,0.5,0.47387171950653945,0.09944295402378864,6,,
closed_form,25.0,1,1.0,0.010595613524046374,0.04490637864038277,6,,
deconvolution,25.0,1,1.0,0.10692409530749149,nan,6,,
pinn_hybrid,25.0,1,1.0,0.01365350669112919,0.03285786234643631,6,542.0547493094994,1.8153972491158319e-06
amortized,25.0,1,1.0,0.027787764699918494,0.08227426798389857,6,,
closed_form,25.0,1,0.5,0.5090426665976053,0.03718783031199725,6,,
deconvolution,25.0,1,0.5,0.5293654765715389,nan,6,,
pinn_hybrid,25.0,1,0.5,0.5105262827740794,0.1331099658710853,6,690.7221471389029,0.000624241759597422
amortized,25.0,1,0.5,0.49511048160046245,0.059427655474520724,6,,
closed_form,25.0,4,1.0,0.013325774163232726,0.04324045527478226,6,,
deconvolution,25.0,4,1.0,0.07197914564448278,nan,6,,
pinn_hybrid,25.0,4,1.0,0.036314700093375674,0.07733348770430938,6,505.25863554347853,0.00088133811424315
amortized,25.0,4,1.0,0.01239815329086423,0.026927202867558918,6,,
closed_form,25.0,4,0.5,0.48291486830474567,0.0551702557119058,6,,
deconvolution,25.0,4,0.5,0.4952485095873195,nan,6,,
